,X,Y
9x25,2327.669,6968.495
7x25,1725.491,6968.274
13x25,3506.9990000000007,6966.44
5x25,1150.679,6973.262
12x25,3215.165,6976.339
15x25,4060.393,6974.968000000002
23x25,6414.055,6977.149
8x25,2039.548,6987.985
22x26,6070.223000000001,7248.098000000001
11x26,2891.273,7255.685
19x26,5216.13,7250.699
9x26,2330.928,7255.188
7x26,1724.2120000000002,7260.655
18x26,4925.82,7254.196999999999
21x26,5802.4540000000015,7257.586999999998
16x26,4357.947,7260.714
13x26,3499.825,7262.465
15x26,4063.155,7264.451
8x26,2021.843,7261.473000000001
14x26,3773.112,7264.689
10x26,2594.149,7264.213000000002
17x26,4642.525,7260.09
12x26,3216.524000000001,7272.13
20x26,5538.257,7271.124
18x27,4933.572,7525.693
19x27,5218.412,7542.526999999999
16x27,4341.928,7540.235
17x27,4627.971,7543.019
15x27,4055.877,7553.17
14x27,3765.298,7549.568
13x27,3495.468,7555.9180000000015
12x27,3213.9040000000005,7565.076
