,X,Y
24x18,6707.633000000002,4945.24
4x18,866.735,4935.548
7x18,1722.517,4936.182
13x18,3494.183,4948.413
23x18,6410.408,4957.691
11x19,2881.695,5209.452
12x19,3228.183,5212.553
22x19,6091.334,5215.192
13x19,3471.25,5209.952
18x19,4918.555,5212.835
28x19,7829.368,5211.969
31x19,8742.641,5209.9659999999985
19x19,5216.064,5213.268
29x19,8123.218000000002,5210.269
27x19,7549.479,5210.937
16x19,4346.238,5211.938
30x19,8415.535,5216.993
10x19,2581.439,5216.453
20x19,5525.917,5217.755
6x19,1425.053,5216.368
9x19,2320.569,5218.749
17x19,4619.164000000002,5218.62
5x19,1135.585,5219.772
26x19,7256.49,5220.814
32x19,8998.414,5229.301
7x19,1720.764,5221.181
8x19,2014.0,5221.095
14x19,3768.163,5223.164000000002
15x19,4056.317,5223.641
25x19,6980.678000000001,5223.513
21x19,5792.491,5227.573
4x19,857.52,5227.799
23x19,6409.02,5231.818
24x19,6692.144,5226.564
29x20,8134.288,5484.008000000002
16x20,4304.224,5497.393
22x20,6083.38,5506.929
31x20,8734.458,5498.092
20x20,5527.396,5503.361999999999
28x20,7827.6590000000015,5500.916
30x20,8424.452,5500.604
19x20,5215.069,5503.879
27x20,7553.597,5501.814
32x20,8987.274,5507.554
21x20,5783.807,5510.773
9x20,2326.95,5510.005
18x20,4920.401,5509.734
24x20,6702.338000000002,5514.639
26x20,7257.482,5509.349
5x20,1137.901,5511.175
11x20,2872.337,5515.3719999999985
17x20,4636.849,5512.6190000000015
4x20,864.206,5514.557
12x20,3195.831,5520.566999999999
8x20,2008.407,5515.901999999999
10x20,2577.028,5517.495
25x20,6975.498000000001,5514.542
7x20,1723.07,5516.274
13x20,3497.073,5520.391
6x20,1405.241,5518.7069999999985
15x20,4059.008,5517.739000000001
23x20,6421.203,5523.792
14x20,3770.021,5520.312
29x21,8133.004,5788.765
22x21,6081.115,5789.004
11x21,2897.105,5795.335999999998
31x21,8727.601,5791.2469999999985
20x21,5543.35,5793.939
30x21,8432.649,5796.236
28x21,7829.906999999998,5796.31
9x21,2323.794,5795.805
19x21,5220.855,5798.2440000000015
18x21,4922.498,5798.464
27x21,7554.477,5797.818
32x21,8995.844000000001,5799.01
5x21,1154.452,5804.528
10x21,2589.606,5801.712
7x21,1703.946,5800.305
6x21,1424.068,5802.403
21x21,5785.142,5804.9180000000015
17x21,4632.24,5803.61
15x21,4063.058,5802.179
14x21,3778.158,5804.661
16x21,4303.319,5806.834
8x21,2011.574,5805.431
13x21,3488.301,5813.062
24x21,6692.736,5809.345
25x21,6971.778,5810.219
26x21,7262.599,5806.289000000002
23x21,6409.647,5815.859
4x21,844.0319999999998,5812.172
12x21,3209.506,5820.561
29x22,8129.464,6074.498000000001
22x22,6090.886,6086.431
11x22,2896.805,6091.135
31x22,8719.213,6079.324000000001
5x22,1142.665,6091.559
30x22,8417.197,6086.714
19x22,5214.636,6089.66
9x22,2314.328,6091.728
18x22,4918.486,6091.368
27x22,7549.276,6088.689
14x22,3736.517,6094.856
21x22,5790.516,6093.672
8x22,2012.901,6094.732
16x22,4343.605,6096.556
17x22,4628.646,6095.639
20x22,5539.428000000001,6095.2159999999985
26x22,7255.439,6095.501
28x22,7831.458,6096.401
4x22,859.85,6102.276999999999
15x22,4062.543,6100.676
6x22,1414.319,6101.946999999999
12x22,3200.6040000000007,6111.039000000002
10x22,2591.23,6106.455
13x22,3488.046,6103.215
24x22,6702.356,6102.08
7x22,1735.261,6106.484
23x22,6407.77,6113.94
29x23,8105.306,6358.528
31x23,8733.141,6375.963000000002
22x23,6086.906,6377.932
18x23,4923.683,6378.061
27x23,7555.71,6377.922
30x23,8425.023000000001,6378.9540000000015
20x23,5533.601,6379.073
28x23,7827.275,6377.379
16x23,4347.727,6382.345
19x23,5216.213,6380.673000000002
11x23,2888.516,6385.88
17x23,4645.172000000001,6382.164000000002
9x23,2324.03,6383.849
8x23,2016.366,6387.265
5x23,1144.546,6388.525
24x23,6702.509,6386.811
25x23,6970.161999999998,6390.557
15x23,4062.412,6387.639
21x23,5790.07,6390.861
12x23,3210.948,6399.255
23x23,6409.726,6398.024
26x23,7263.681,6390.267
3x23,571.573,6396.258000000002
4x23,856.6030000000002,6394.368
10x23,2582.196,6397.2440000000015
13x23,3498.081,6394.257
7x23,1720.6370000000004,6395.616
14x23,3767.087,6397.0059999999985
6x23,1419.329,6394.505
22x24,6089.158,6661.182
16x24,4346.6190000000015,6660.398
25x24,6979.525,6670.959
29x24,8133.132,6664.946
30x24,8418.895,6663.736999999999
31x24,8728.219000000001,6667.062
11x24,2888.0290000000005,6673.234
28x24,7828.816,6670.106
9x24,2320.387,6674.347
8x24,2013.012,6678.078
21x24,5790.298000000002,6674.416
27x24,7554.182,6673.632
6x24,1426.636,6682.095
17x24,4627.212,6676.375
15x24,4060.653,6678.772
19x24,5223.209,6678.696999999999
18x24,4916.317,6680.414000000002
3x24,564.845,6680.6280000000015
26x24,7260.394,6679.821
13x24,3494.366,6682.684
20x24,5539.755,6686.426
5x24,1147.772,6680.16
14x24,3770.888,6684.405
24x24,6699.132,6681.357
4x24,854.174,6682.727
7x24,1719.629,6681.979
10x24,2592.8920000000007,6688.286
23x24,6411.868,6689.031
12x24,3218.3140000000008,6694.137
14x25,3762.048,6942.2469999999985
6x25,1457.75,6953.858
22x25,6092.121,6958.458000000001
5x25,1142.252,6956.985
10x25,2578.459,6961.399
11x25,2881.993,6960.888000000001
27x25,7549.460999999998,6959.3
30x25,8423.685,6961.138000000001
9x25,2327.236,6964.019
20x25,5533.816,6965.598000000001
29x25,8131.198,6963.439
25x25,6972.505,6962.646
8x25,2036.892,6965.408
18x25,4928.14,6965.848000000001
19x25,5218.238,6965.767
26x25,7270.946,6966.925
17x25,4623.904,6969.511
28x25,7836.513000000001,6966.12
7x25,1709.1129999999996,6969.271
24x25,6708.545,6970.695
13x25,3505.6,6971.54
21x25,5794.286999999998,6974.3409999999985
16x25,4359.291,6973.578
23x25,6408.315,6981.542
4x25,862.82,6974.736
3x25,566.34,6982.587
12x25,3215.359000000001,6984.292
15x25,4052.565,6982.156999999998
20x26,5528.834,7243.831
22x26,6064.718000000002,7248.153
29x26,8130.196999999999,7248.414000000002
11x26,2887.514,7257.39
16x26,4349.108,7254.058000000001
19x26,5215.685,7253.571999999999
21x26,5789.196,7255.113
14x26,3771.457,7261.638000000001
24x26,6703.08,7256.772
25x26,6983.279,7254.419
9x26,2321.9410000000007,7264.73
27x26,7553.607,7256.026999999999
10x26,2587.631,7264.701
15x26,4057.972,7267.018
18x26,4927.597,7260.3290000000015
26x26,7280.664000000002,7257.806
17x26,4629.073,7261.306
23x26,6411.241999999998,7268.373
8x26,2020.327,7266.828
13x26,3495.5290000000005,7269.04
28x26,7826.23,7260.276999999999
3x26,567.974,7267.404
4x26,852.6210000000002,7265.916
5x26,1146.695,7269.64
6x26,1430.963,7272.047
7x26,1727.4820000000002,7272.461999999998
12x26,3212.723,7280.198
22x27,6088.852,7542.575
28x27,7835.387,7539.8690000000015
29x27,8126.773,7539.395
15x27,4054.491,7544.151
11x27,2895.006,7548.936
16x27,4381.624,7545.010999999998
27x27,7559.14,7540.259
9x27,2327.064,7550.074
20x27,5527.0059999999985,7547.164000000002
21x27,5794.941,7551.198
24x27,6709.951,7548.846
8x27,2017.505,7554.564
14x27,3773.933,7551.297
6x27,1422.7379999999996,7555.539000000002
5x27,1142.655,7554.566
10x27,2593.415,7557.193
19x27,5216.458,7556.15
23x27,6407.8,7559.983
26x27,7267.501,7555.951999999998
17x27,4626.116,7558.214
7x27,1733.086,7558.236999999999
25x27,6977.616,7559.883000000002
18x27,4929.2959999999985,7562.116
2x27,295.981,7565.510999999998
3x27,566.4540000000002,7569.425999999998
13x27,3500.382,7564.371
12x27,3219.331,7574.779
4x27,863.3939999999999,7569.547
15x28,4038.339,7813.853
20x28,5518.798000000002,7827.126999999998
22x28,6090.93,7838.925
21x28,5791.422,7845.694
19x28,5215.154,7843.806
27x28,7551.991,7840.891
9x28,2320.328,7846.174
8x28,2009.48,7847.6309999999985
5x28,1147.966,7849.03
10x28,2595.922,7848.324
3x28,561.045,7851.824
13x28,3496.968,7850.191
26x28,7267.154,7853.621
6x28,1416.662,7851.965
25x28,6972.868,7855.544
7x28,1719.307,7853.683000000001
18x28,4900.148,7850.449
17x28,4620.139,7852.675
24x28,6701.189,7859.781999999998
4x28,854.405,7858.568
12x28,3199.047,7868.597
16x28,4368.117,7865.791999999998
23x28,6402.6709999999985,7867.186
14x28,3761.874,7874.205
16x29,4393.459,8110.528
22x29,6081.988,8122.863
11x29,2881.868,8135.599
17x29,4618.814,8131.725
21x29,5790.4209999999985,8137.79
20x29,5534.3290000000015,8136.6219999999985
9x29,2307.663,8139.319
26x29,7259.536999999998,8140.021
15x29,4042.692,8147.4940000000015
18x29,4922.317,8142.2530000000015
19x29,5214.428,8142.7040000000015
7x29,1714.46,8144.166
8x29,2011.983,8145.023
25x29,6975.005,8146.129
10x29,2593.624,8148.133000000002
24x29,6702.209,8148.846
13x29,3491.703,8154.228
14x29,3769.011,8150.059
23x29,6407.488,8156.519
12x29,3212.7490000000007,8158.961999999998
22x30,6091.76,8416.006
11x30,2892.125,8428.599
16x30,4344.084,8421.313
18x30,4924.677,8426.292
17x30,4630.668,8428.391
20x30,5525.236,8428.639000000001
19x30,5219.2840000000015,8431.804
9x30,2324.624,8432.451
21x30,5785.808000000001,8431.649
10x30,2588.881,8433.964
24x30,6691.427,8433.25
12x30,3204.474,8437.889000000001
25x30,6975.319,8432.895
15x30,4063.444,8433.905999999999
8x30,2011.826,8438.149
13x30,3489.942,8438.402
14x30,3768.991,8439.493
23x30,6417.415,8447.123
16x31,4347.719,8713.862
19x31,5212.887,8719.934000000001
11x31,2889.535,8723.533000000001
18x31,4920.101,8718.483
17x31,4629.606,8721.865
15x31,4056.157,8727.553
13x31,3493.759,8729.134
14x31,3772.145,8728.235
12x31,3196.401,8740.827
18x32,4917.537,9009.998
